num_count,mean,std
0,0,0
500,0,0
1000,0,0
1500,0,0
2000,0,0
2500,0,0
3000,0,0
3500,0.05,0.00256495
4000,0,0
4500,0,0
5000,0,0
5500,0.05,0.00256495
6000,0.05,0.00256495
6500,0,0
7000,0.05,0.00256495
7500,0.1,0.00512989
8000,0.15,0.00769484
8500,0.1,0.00512989
9000,0.1,0.00512989
9500,0.1,0.00512989
10000,0.2,0.0102598
10500,0.3,0.0153897
11000,0.2,0.0102598
11500,0.25,0.0384742
12000,0.35,0.0798436
12500,0.15,0.00769484
13000,0.3,0.074162
13500,0.25,0.0128247
14000,0.15,0.00769484
14500,0.1,0.00512989
15000,0.2,0.0102598
15500,0.25,0.0384742
16000,0.2,0.0894427
16500,0.3,0.103746
17000,0.35,0.0179546
17500,0.25,0.0897731
18000,0.4,0.107115
18500,0.75,0.145661
19000,0.55,0.105163
19500,0.5,0.105755
20000,0.5,0.128247
20500,0.25,0.0897731
21000,0.5,0.105755
21500,0.45,0.0778409
22000,0.5,0.105755
22500,0.4,0.0307794
23000,0.5,0.0256495
23500,0.7,0.140394
24000,0.8,0.167332
24500,0.55,0.127759
25000,0.6,0.0552506
25500,0.55,0.0761318
26000,0.6,0.13917
26500,0.85,0.142557
27000,0.7,0.0958343
27500,0.95,0.171698
28000,1.25,0.208771
28500,0.9,0.127836
29000,0.85,0.138815
29500,1.35,0.224326
30000,1.2,0.145458
30500,1,0.261574
31000,1.4,0.285436
31500,1.25,0.162728
32000,1.1,0.239572
32500,1.7,0.235584
33000,1.4,0.181804
33500,1.1,0.193377
34000,1.6,0.237088
34500,1.55,0.321192
35000,1.15,0.175638
35500,1.25,0.299396
36000,1.35,0.18583
36500,1.65,0.22256
37000,1.55,0.237323
37500,2.05,0.223622
38000,1.45,0.241718
38500,1.45,0.281922
39000,1.9,0.236254
39500,2.15,0.316321
40000,1.4,0.153554
40500,1.65,0.241282
41000,1.65,0.173376
41500,1.7,0.314099
42000,2.2,0.279285
42500,2,0.299122
43000,2.35,0.223739
43500,2.2,0.329433
44000,2.55,0.300887
44500,2.6,0.260364
45000,2.95,0.316238
45500,2.35,0.241282
46000,1.85,0.252995
46500,2.7,0.34751
47000,2.95,0.359102
47500,2.6,0.320197
48000,1.95,0.294254
48500,2.2,0.223842
49000,2.4,0.184676
49500,3.05,0.317069
50000,3.3,0.244357
50500,2.8,0.375009
51000,2.25,0.195761
51500,2.85,0.348389
52000,3.7,0.461947
52500,3.3,0.331226
53000,3.2,0.487313
53500,3.05,0.450738
54000,2.55,0.360929
54500,3.1,0.387332
55000,3.4,0.355261
55500,3.6,0.379612
56000,3.45,0.355789
56500,3.05,0.33679
57000,3.15,0.374596
57500,3.8,0.460092
58000,4.2,0.325415
58500,4.25,0.468936
59000,4.35,0.371776
59500,4.5,0.459548
60000,4.55,0.501321
60500,4.35,0.398096
61000,4.35,0.486184
61500,4.45,0.598688
62000,4.2,0.38879
62500,4.5,0.34887
63000,5,0.518094
63500,4.9,0.513015
64000,4.9,0.46456
64500,4.8,0.417511
65000,4.85,0.360272
65500,5.55,0.474349
66000,5.35,0.425572
66500,5.45,0.738424
67000,5.35,0.469665
67500,5.4,0.478924
68000,4.6,0.4303
68500,6.55,0.464822
69000,5.55,0.514021
69500,4.4,0.478924
70000,6,0.703375
70500,6.75,0.652046
71000,5.3,0.412598
71500,6.15,0.574966
72000,5.35,0.459183
72500,6.5,0.637119
73000,5.15,0.531439
73500,6.7,0.639675
74000,6.2,0.388113
74500,5.55,0.57766
75000,6.55,0.489636
75500,6.75,0.731909
76000,6.75,0.588402
76500,7.05,0.5905
77000,5.65,0.52421
77500,6.8,0.580472
78000,7.95,0.517338
78500,7.15,0.589653
79000,7.05,0.617087
79500,6.8,0.486772
80000,6.35,0.399745
80500,6.65,0.424334
81000,8.45,0.482053
81500,7.3,0.797183
82000,8.55,0.572167
82500,8.85,0.675166
83000,8.85,0.603766
83500,7.85,0.541495
84000,8.5,0.607519
84500,7.6,0.629034
85000,7.8,0.644082
85500,8.5,0.594382
86000,9.75,0.797302
86500,8.4,0.530045
87000,9.3,0.702046
87500,10.1,0.677087
88000,9.3,0.795861
88500,10.75,0.811208
89000,8.6,0.48057
89500,8.2,0.80138
90000,9.1,0.613038
90500,8.9,0.665325
91000,8.55,0.689016
91500,9.65,0.509185
92000,10,0.739844
92500,9.6,0.39855
93000,9.4,0.781631
93500,12.05,0.535337
94000,9.6,0.607324
94500,9.8,0.771601
95000,10,0.628281
95500,10.25,0.738174
96000,9.35,0.846078
96500,10.9,0.790752
97000,10.05,0.843867
97500,11.55,0.870726
98000,10.05,0.585128
98500,11.15,0.532923
99000,11.8,0.628365
99500,11.6,1.00467
